Name,Rating
"Inception
(2010)",8.8
"The Matrix
(1999)",8.7
"The Lord of the Rings: The Return of the King
(2003)",9
"The Lord of the Rings: The Two Towers
(2002)",8.8
"The Departed
(2006)",8.5
"Avengers: Infinity War
(2018)",8.4
"Raiders of the Lost Ark
(1981)",8.4
"Spider-Man: Into the Spider-Verse
(2018)",8.4
"Inglourious Basterds
(2009)",8.4
"American Beauty
(1999)",8.3
"Catch Me If You Can
(2002)",8.1
"City of God
(2002)",8.6
"The Irishman
(2019)",7.8
"3 Idiots
(2009)",8.4
"Once Upon a Time in the West
(1968)",8.5
"Monty Python and the Holy Grail
(1975)",8.2
"The Lives of Others
(2006)",8.4
"Indiana Jones and the Last Crusade
(1989)",8.2
"Trainspotting
(1996)",8.1
"Room
(I) (2015)",8.1
"Kill Bill: Vol. 1
(2003)",8.2
"The King's Speech
(2010)",8
"Pan's Labyrinth
(2006)",8.2
"Her 2014
(2014 Video)",0
"Marriage Story
(2019)",7.9
"Dallas Buyers Club
(2013)",7.9
"Kill Bill: Vol. 2
(2004)",8
"Zombieland: Double Tap
(2019)",6.7
"Ex Machina
(2014)",7.7
"Black Panther
(2018)",7.3
"Life of Brian
(1979)",8
"Drive
(I) (2011)",7.8
"District 9
(2009)",7.9
"Klaus
(2019)",8.2
"Raging Bull
(1980)",8.1
"Incredibles 2
(2018)",7.5
"Moon
(2009)",7.8
"A Separation
(2011)",8.3
"Men in Black
(1997)",7.3
"Hell or High Water
(II) (2016)",7.6
"Rosemary's Baby
(1968)",8
"Sin City
(2005)",8
"50/50
(2011)",7.6
"Zodiac
(2007)",7.7
"Ip Man 2
(2010)",7.5
"The Fighter
(I) (2010)",7.8
"Crouching Tiger, Hidden Dragon
(2000)",7.9
"Ferris Bueller's Day Off
(1986)",7.8
"The Hateful Eight
(2015)",7.8
"Indiana Jones and the Temple of Doom
(1984)",7.5
"Train to Busan
(2016)",7.6
"Moonlight
(I) (2016)",7.4
"Dangal
(2016)",8.3
"The Theory of Everything
(2014)",7.7
"El Camino: A Breaking Bad Movie
(2019)",7.3
"The Conjuring: The Devil Made Me Do It
(2021)",6.3
"Scott Pilgrim vs. the World
(2010)",7.6
"Searching for Sugar Man
(2012)",8.2
"Short Term 12
(2013)",7.9
"Willy Wonka & the Chocolate Factory
(1971)",7.8
"The Pursuit of Happyness
(2006)",8
"Ant-Man and the Wasp
(2018)",7
"The Two Popes
(2019)",7.6
"Like Stars on Earth
(2007)",8.3
"What Men Want
(2019)",5.4
"Crash
(I) (2004)",7.7
"Magnolia
(1999)",8
"American Psycho
(2000)",7.6
"The End of the F***ing World
(2017–2019)",8
"And Your Mother Too
(2001)",7.7
"Snowpiercer
(2013)",7.1
"Dolemite Is My Name
(2019)",7.2
"Sling Blade
(1996)",8
"Up in the Air
(I) (2009)",7.4
"To All the Boys I've Loved Before
(2018)",7
"Donnie Brasco
(1997)",7.7
"It's Always Sunny in Philadelphia
(2005– )",8.8
"As Good as It Gets
(1997)",7.7
"About Time
(I) (2013)",7.8
"Sweeney Todd: The Demon Barber of Fleet Street
(2007)",7.3
"A Silent Voice: The Movie
(2016)",8.1
"The Naked Gun: From the Files of Police Squad!
(1988)",7.6
Baahubali: Before the Beginning,
"Kung Fu Hustle
(2004)",7.7
"Roma
(2018)",7.7
"Grease
(1978)",7.2
"The Matrix Reloaded
(2003)",7.2
"Lincoln
(2012)",7.3
"Gangs of New York
(2002)",7.5
"Blue Is the Warmest Colour
(2013)",7.7
"Limitless
(I) (2011)",7.4
"The Legend of Tarzan
(2016)",6.2
"Coraline
(2009)",7.7
"The Edge of Seventeen
(2016)",7.3
"Tucker and Dale vs Evil
(2010)",7.5
"Talk 2000
(1997– )",8.4
"13th
(2016)",8.2
"Baahubali 2: The Conclusion
(2017)",8.2
"Primal Fear
(1996)",7.7
"GoldenEye
(1995)",7.2
"Icarus
(2017)",7.9
"Saving Mr. Banks
(2013)",7.5
"The Invisible Guest
(2016)",8
"The Barratt Family: 2013
(2013– )",0
"The Texas Chain Saw Massacre
(1974)",7.4
"The Talented Mr. Ripley
(1999)",7.4
"The Ballad of Buster Scruggs
(2018)",7.2
"Ralph Breaks the Internet
(2018)",7
"Solo: A Star Wars Story
(2018)",6.9
"Jiro Dreams of Sushi
(2011)",7.8
"Black Mirror: Bandersnatch
(2018)",7.1
"Ip Man 2
(2010)",7.5
"Salò, or the 120 Days of Sodom
(1975)",5.8
"Blue Valentine
(2010)",7.3
"The Dawn Wall
(2017)",8.1
"Blue Jasmine
(2013)",7.3
"Lagaan: Once Upon a Time in India
(2001)",8.1
"The Lobster
(2015)",7.1
"Layer Cake
(2004)",7.3
"Burning
(2018)",7.5
"The Little Prince
(2015)",7.7
"10 Cloverfield Lane
(2016)",7.2
"The Spectacular Now
(2013)",7
"The Boy in the Striped Pajamas
(2008)",7.7
"The Green Room
(2016– )",7.2
"The Squid and the Whale
(2005)",7.3
"Austin Powers: International Man of Mystery
(1997)",7
"20/20
(1978– )",6.7
"Bolt
(2008)",6.8
"The Place Beyond the Pines
(2012)",7.3
"A Single Man
(2009)",7.5
"Ford v Ferrari
(2019)",8.1
"Blow
(2001)",7.5
"I Am Mother
(2019)",6.7
"The Adventures of Tintin
(2011)",7.3
"The Princess and the Frog
(2009)",7.1
